from,to
MatthiasPlatzeck,SPD
MatthiasPlatzeck,ZDF
MatthiasPlatzeck,FlughafenBerlinBrandenburgGmbH
MatthiasPlatzeck,DeutschRussischeForum
MatthiasPlatzeck,DeutscherBundestag
RonaldPofalla,DeutscheBahn
RonaldPofalla,Bundeskanzleramt
RonaldPofalla,CDU
RonaldPofalla,GemeinderatWeeze
RonaldPofalla,DeutscherBundestag
BarbaraPraetorius,HTWBerlin
BarbaraPraetorius,VerbandkommunalerUnternehmen
BarbaraPraetorius,AgoraEnergiewende
StanislawTillich,CDU
StanislawTillich,MIBRAG
StanislawTillich,RKK
StanislawTillich,EP
StanislawTillich,DeutscherBundestag
GerdaHasselfeldt,CSU
GerdaHasselfeldt,DRK
GerdaHasselfeldt,FrauenUnion
GerdaHasselfeldt,DeutscherBundestag
SteffenKampeter,CDU
SteffenKampeter,BDA
SteffenKampeter,StiftungsratderKulturstiftung
SteffenKampeter,InitiativeMusik
SteffenKampeter,Bundesfinanzministerium
SteffenKampeter,KulturakademieTarabya
SteffenKampeter,DeutscherBundestag
StefanKapferer,FDP
StefanKapferer,BDEW
StefanKapferer,DEA
StefanKapferer,BundesministeriumfuerGesundheit
DieterKempf,BDI
DieterKempf,DATEV
DieterKempf,DsiN
DieterKempf,GVB
DieterKempf,DeutscheMesse
DieterKempf,CyberSicherheitsrat
DieterKempf,Bitkom
ClaudiaNemat,Telekom
ClaudiaNemat,McKinsey
ClaudiaNemat,Lanxess
ClaudiaNemat,Airbus
KatherinaReiche,CDU
KatherinaReiche,DeutscherBundestag
KatherinaReiche,FrauenUnion
KatherinaReiche,EON
GundaRoestel,DieGruenen
GundaRoestel,SD
GundaRoestel,EnBW
GundaRoestel,Gelsenwasser
GundaRoestel,NeuesForum
EricSchweizer,FDP
EricSchweizer,DIHT
EricSchweizer,IHKBerlin
EricSchweizer,FEAD
EricSchweizer,BerlinPartner
EricSchweizer,RNE
AntjeGrothus,Tierschutzpartei
AntjeGrothus,BfB
AntjeGrothus,KlimaAllianzDeutschland
HanneloreWodtke,CDU
HanneloreWodtke,GZW
ChristineHerntier,SprembergerTuche
MichaelKreuzberg,CDU
MichaelKreuzberg,KreissparkasseKoeln
MichaelKreuzberg,MetropolregionRheinland
MichaelKreuzberg,NaturparkRheinland
MichaelKreuzberg,ZRR
ReinerPriggen,DieGruenen
ReinerPriggen,LEENRW
ReinerPriggen,LL
ReinerPriggen,LandtagNW
MichaelVassiliadis,IGBCE
MichaelVassiliadis,SPD
MichaelVassiliadis,BAPP
MichaelVassiliadis,CARE
MichaelVassiliadis,SNV
AndreasScheidt,DienstleistungsgewerkschaftVerdi
AndreasScheidt,WuppertalerStadtwerke
AndreasScheidt,EON
AndreasScheidt,SPD
StefanKeorzel,SPD
StefanKeorzel,DGB
StefanKeorzel,DR
StefanKeorzel,HR
MartinKaiser,Greenpeace
HubertWeiger,BUND
HubertWeiger,RNE
HubertWeiger,VDW
HubertWeiger,BALR
HubertWeiger,BSUGV
KaiNiebert,DNR
KaiNiebert,Naturfreunde
KaiNiebert,DBU
JuttaAllmendinger,WZB
JuttaAllmendinger,BHU
JuttaAllmendinger,DGS
JuttaAllmendinger,IAB
JuttaAllmendinger,MPIB
FelixMatthes,OekoInstitut
FelixMatthes,EKNE
HansJoachimSchellnhuber,PIK
HansJoachimSchellnhuber,WBGU
HansJoachimSchellnhuber,IPCC
HansJoachimSchellnhuber,SRC
AnnekatrinNiebuhr,UniKiel
AnnekatrinNiebuhr,HWWA
AnnekatrinNiebuhr,IABNord
RalfWehrspohn,FrauenhoferInstitut
RalfWehrspohn,MPIM
RalfWehrspohn,SM
RalfWehrspohn,FG
AndreasLaemmel,CDU
AndreasLaemmel,PKM
AndreasLaemmel,MIT
AndreasLaemmel,NeuesForum
AndreasLenz,CSU
AndreasLenz,PBNE
AndreasLenz,EUD
MatthiasMiersch,SPD
MatthiasMiersch,DeutscherBundestag
MatthiasMiersch,AUNR